,name,address,area,tag,price
0,开元丽城,二七,二七京广路京广南路68号,南北,9479
1,康桥溪山御府,二七,二七嵩山路嵩山南路138号,满五年,20529
2,东旭花园,经开,经开区第三大街经南一路56号,近地铁,10352
3,中原新城学府一号,中原,中原林山寨工人路23号,东,19092
4,正商林语溪岸3号院,惠济,惠济迎宾路香山路110号,近地铁,10599
5,升龙又一城(2期),高新,高新区科学大道科学大道89号,南,12904
6,金成国际广场,金水,金水经三路农科路38号,满五年,9323
7,绿城花园,二七,二七嵩山路航海中路201号,近地铁,9116
8,祝福红城(二期),高新,高新区科学大道碧桃路109号,西,9384
9,建业贰号城邦,金水,金水水上公园农业路22号,满二年,22536
10,东原阅城二期,中原,"中原五龙口秋棠路,近三全路",近地铁,11000
11,城开绿城绿园(二期),中原,"中原桐柏路五龙口南路,近桐柏北路",南北,10401
12,锦艺金水湾观澜苑,金水,金水文化路贾鲁河南路69号,满五年,16037
13,紫檀华都北院,金水,"金水绿荫广场天明路,近群办路",南北,19573
14,康桥铂舍,金水,金水南阳路南阳路,满五年,8917
15,绿都紫荆华庭脉动,管城,"管城管城周边南三环,近紫荆山南路",近地铁,5715
16,华瑞紫桂苑,金水,金水三全路三全路99号,车位充足,10422
17,正商智慧城雅园,新郑,新郑龙湖沙窝李滨湖路,北,15186
18,安泰金苑,金水,金水三全路三全路86号,满五年,10450
19,祝福红城(一期),高新,高新区科学大道碧桃路109号,近地铁,9913
20,海通居,金水,金水文化路经六路,南北,10347
21,锦绣山河玉畅园,二七,二七嵩山南路庆泰路56号,满五年,12540
22,郑西联盟新城(三四期),上街,"上街上街周边淮阳路,近锦江路",近地铁,8985
23,老街绿地郑东新苑二期,郑东,郑东新区绿地老街天赋路28号,南北,22563
24,正商明钻二期,中原,中原五龙口电厂路19号,满五年,10113
25,正商林语溪岸3号院,惠济,惠济迎宾路香山路110号,近地铁,10229
26,华林都市家园,金水,金水南阳路南阳路242号,车位充足,14966
27,华林都市家园,金水,金水南阳路南阳路242号,南北,11586
28,城开绿城绿园(二期),中原,"中原桐柏路五龙口南路,近桐柏北路",热门小区,10712
29,金水世纪城,中原,中原秦岭路金水西路126号,价格优惠,13429
30,正商智慧城颖园,新郑,新郑龙湖沙窝李正商大道,房东急售,8652
31,翠和园,管城,管城南关臧家门1号,南北,10069
32,文雅新世界(二期),金水,金水绿荫广场博颂路34号,有电梯,9830
33,橄榄城柏林阳光,二七,二七连云路连云路69号,次新房,11093
34,华润悦府,二七,二七铭功路铭功路11号,南,18884
35,康桥知园,管城,管城城东路未来路,满二年,19258
36,金水世纪城,中原,中原秦岭路金水西路126号,车位充足,13932
37,啟福花园(南区),中原,中原汝河路华山路82号,南,9542
38,阳光城丽景公馆(南苑),中原,"中原中原西路西三环,近中原西路",满二年,14865
39,思达大河春天B区,金水,金水索凌路索凌路8号,车位充足,10327
