,name,address,area,tag,price
0,富田兴和湾,新郑,"新郑龙湖沙窝李紫荆山南路,近郑州绕城高速",南,7132
1,风和日丽家园,中原,中原五龙口煤仓北路16号,满五年,10780
2,河南博物院家属院,金水,"金水文博广场文博西路,近俭学街",车位充足,32784
3,基正唐宁1號,新郑,新郑龙湖阳光大道新郑快速通道,南,6016
4,宋砦小区1号院,金水,金水中医院天明路,满五年,8390
5,圣菲城(北区),金水,金水花园路渠东路,近地铁,20530
6,广汇PAMA,金水,金水燕庄金水路216号,南北,20101
7,水榭华城,新郑,新郑龙湖华南城双湖大道东段77号,满五年,5178
8,白鹭源,航空,"航空港北港郑港四路,近郑港四街",近地铁,7248
9,郑州市地方志家属院,中原,中原中原西路颍河路178号-180号,南,9528
10,金林公馆(北区),金水,金水玉凤路燕庄一街62号,满五年,17035
11,东邢花园东院,二七,"二七嵩山路同兴街,近文艺路",南北,7396
12,建业城市花园,金水,金水燕庄建业路88号,满五年,16582
13,康桥上城品,中原,中原陇海西路陇海西路306号,近地铁,10922
14,远大理想城,经开,经开区远大理想城经北二路66号,南北,16936
15,天伦庄园,惠济,惠济北大学城开元路109号,满五年,18541
16,碧水名苑,中牟,中牟中牟城区人文路,近地铁,6071
17,富田兴和湾,新郑,"新郑龙湖沙窝李紫荆山南路,近郑州绕城高速",车位充足,7533
18,碧桂园天琴湾,郑东,郑东新区龙子湖明理路,南北,23180
19,正弘中央公园尚文苑,航空,"航空港北港太湖路,近相州街",满五年,8197
20,亚太花园,经开,经开区远大理想城朝凤路78-14号,近地铁,14760
21,天怡佳苑,郑东,郑东新区商都路复兴路188号,绿化率高,5538
22,国龙绿城怡园(2期),郑东,郑东新区永平路心怡路,南,21961
23,锦艺四季城香颂苑,惠济,惠济开元路英才街266号,满二年,21956
24,郑西联盟新城(三四期),上街,"上街上街周边淮阳路,近锦江路",绿化率高,7143
25,绿都云立方,二七,"二七万达广场大学南路,近双铁路",南,6250
26,富田兴龙湾,新郑,"新郑龙湖阳光大道郑新路,近泰山路",满五年,6339
27,第一大街逸水湾,郑东,郑东新区CBD天赋路,近地铁,26154
28,正弘中央公园麓林苑,航空,航空港北港大航路90号,绿化率高,7473
29,宏光揽境,郑东,"郑东新区绿城百合春雷路,近龙湖中环西路",南北,22633
30,康桥原溪里1号院,新郑,新郑龙湖华南城祥安路,满五年,7679
31,圣菲城(南区),金水,金水花园路鑫苑西路6号,近地铁,24346
32,碧桂园天琴湾,郑东,郑东新区龙子湖明理路,南北,22911
33,升龙城六号院,二七,"二七嵩山路政通路,近嵩山南路",满五年,10971
34,洞林文苑,荥阳,荥阳洞林湖洞林路,近地铁,6519
35,汇泉西悦城5号院,中原,中原陇海西路金兰路69号,南北,9149
36,百花路社区,中原,中原碧沙岗百花路46号,有电梯,12365
37,帝湖花园东王府,中原,中原帝湖桐柏南路98号,次新房,9286
38,普罗旺世龙之梦东苑,郑东,"郑东新区北龙湖龙湖中环东路,近夏令街",南北,28750
39,荣立鸿鹄嘉苑,新郑,新郑龙湖阳光大道湖滨路,满五年,6270
40,丰泽新苑(一期),新郑,"新郑龙湖双湖大道祥安路,近滨湖路",近地铁,5600
41,正商红河谷,新郑,新郑龙湖沙窝李107国道,南北,7331
42,宏光揽境,郑东,"郑东新区绿城百合春雷路,近龙湖中环西路",南北,23438
43,帝湖花园西王府,中原,中原帝湖桐柏南路77号,满五年,11158
44,居易世界观,荥阳,荥阳荥阳城区中原西路,近地铁,6043
45,工银小区,金水,金水东明路东明路北209号,南北,8518
46,圣菲城(南区),金水,金水花园路鑫苑西路6号,满五年,18596
47,颖河路135号院,中原,中原碧沙岗颖河路135号,车位充足,12167
48,五龙新城香堤园,中原,中原五龙口漳河路19号,南北,12747
49,鑫苑现代城,二七,二七京广路庆丰街17号,房东诚售,20195
50,帝湖花园西王府,中原,中原帝湖桐柏南路77号,满二年,9519
51,大公府,郑东,"郑东新区天赋路龙湖中环南路,近龙腾一街",次新房,20690
52,曼哈顿广场,金水,"金水曼哈顿金水路288号,金水路305号",南,12660
53,普罗旺世二期罗曼维森,金水,金水索凌路国基路168号,满二年,19353
54,金成时代广场,金水,金水黄河路姚砦路133号,车位充足,11911
55,和昌盛世城邦云园,航空,"航空港南港舜英路,近苑陵路",南北,7204
56,欧丽集团家属院,中原,中原桐柏南路沁河路,满二年,8304
57,绿洲银郡,金水,金水经三路经三路北56号,近地铁,11524
58,碧桂园西湖七号院,高新,高新区瑞达路木香街,车位充足,14643
59,广兴航海花城,二七,二七碧云路连云路15号,南,9445
